N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
40,두산에너빌리티,"13,250",150,+1.15%,"5,000","84,576","638,308",11.79,"3,582,233",99.62,10.67,
41,카카오뱅크,"16,600",900,-5.14%,"5,000","79,121","476,631",13.16,"6,190,438",36.81,4.91,
42,대한항공,"21,350",300,+1.43%,"5,000","78,615","368,221",14.84,"927,707",4.99,11.60,
43,기업은행,"10,200",50,+0.49%,"5,000","75,919","744,301",13.47,"705,815",3.35,9.21,
44,엔씨소프트,"328,000","7,500",-2.24%,500,"72,009","21,954",43.14,"60,315",14.14,12.62,
45,LG이노텍,"291,000","4,000",+1.39%,"5,000","68,871","23,667",24.80,"169,659",7.15,30.94,
46,현대글로비스,"169,000","2,000",-1.17%,500,"63,375","37,500",46.49,"80,498",6.12,14.41,
47,CJ제일제당,"401,000","3,500",-0.87%,"5,000","60,367","15,054",24.49,"26,327",10.12,10.76,
48,SK바이오사이언스,"73,900","2,600",+3.65%,500,"56,743","76,784",4.01,"332,847",16.93,38.08,
49,아모레퍼시픽,"96,900",600,-0.62%,500,"56,679","58,493",25.61,"292,232",79.62,4.20,
50,SK스퀘어,"39,400","1,000",+2.60%,100,"55,738","141,468",41.92,"287,844",2.44,N/A,
51,롯데케미칼,"161,500","1,000",+0.62%,"5,000","55,355","34,275",24.03,"58,561",10.77,9.87,
52,F&F,"139,000",0,0.00%,100,"53,247","38,307",12.15,"61,555",14.54,N/A,
53,한국조선해양,"74,800",600,-0.80%,"5,000","52,938","70,773",20.38,"143,055",-7.63,-8.95,
